P,PET,Tmax,Tmin,R
0,0.852,7.0389,-6.6111,0.84
0.07,0.8148,10.3333,-2.5389,0.849
0.2,0.8148,15.9833,4.4556,0.852
1.22,0.8148,15.6111,5.6889,0.856
0.01,0.8148,13.8167,-2.2889,0.86
0.21,0.8148,14.0556,-1.9444,0.865
4.06,0.8148,11.85,-1.2778,0.87
0.02,0.852,3.1389,-8.2,0.875
0,0.7941,4.8944,-10.8556,0.881
0,0.7403,9.4833,-7.4833,0.888
0.22,0.761,10.3056,-1.4111,0.894
0.64,0.7941,7.6944,-6.2889,0.902
8.17,0.7776,5.9556,-3.2611,0.909
8.76,0.7941,5.3389,-1.15,0.917
5.06,0.9719,10.2778,-0.0778,0.926
0.21,1.2201,6.7611,-2.9167,0.935
0,1.1374,12.9222,-5.6333,0.944
0.12,0.9719,15.1222,1.4222,0.954
0.07,0.9099,17.8944,4.6667,0.964
0.04,0.8892,19.45,3.9,0.974
0.13,0.8685,15.4944,0.1778,0.985
0.37,0.8355,5.3889,-7.4333,0.997
7.79,0.8148,4.4778,-5.8833,1.008
0.86,0.8355,9.8556,-1.0667,1.021
0.11,0.9099,7.3889,-4.2611,1.033
0.01,0.8685,3.2667,-8.5778,1.046
0.08,0.8148,9.9222,-6.3333,1.059
0.16,0.7776,15.6389,2.2111,1.073
1.06,0.8148,15.3278,4.3444,1.087
5.48,0.8148,11.3056,-0.3278,1.101
2.67,0.852,2.4556,-4.3611,1.116
10.55,0.8685,10.6278,-3.5722,1.131
0.08,1.034,3.8444,-11.9944,1.147
0,1.2615,1.6056,-13.4167,1.163
0.02,1.0133,3.1333,-10.9389,1.179
0.28,0.9513,9.2667,-6.6222,1.196
6.01,0.9719,9.5556,-4.1611,1.212
32.43,2.3533,9.9833,-5.4778,1.23
0.15,6.8243,1.6944,-12.0889,1.247
0.62,2.8621,-0.35,-6.7889,1.265
0.07,1.7991,1.35,-6.4222,1.283
0,1.4269,10.2833,-7.4,1.302
0,1.2615,17.8,-1.4611,1.321
0,1.1787,21.6278,1.0333,1.34
0,1.1374,22.5778,2.5833,1.359
0.39,1.096,17.6444,1.8333,1.379
7.56,1.034,6.4778,-0.1889,1.399
1.67,1.0547,12.3611,0.8667,1.419
0.03,1.1374,17.1611,-0.6333,1.44
0.64,1.096,19.2944,5.2611,1.461
9.1,1.034,18.6222,8.2833,1.482
6.73,1.1787,16.3889,6.3111,1.503
